"","item1","item2","correlation"
"173","threats","successfully",1
"174","capability","successfully",1
"175","continuity","successfully",1
"176","economical","successfully",1
"177","effective","successfully",1
"178","interests","successfully",1
"179","reputation","successfully",1
"180","variety","successfully",1
"181","waste","successfully",1
"182","reasonably","variety",1
"183","solid","variety",1
"184","threats","variety",1
"185","capability","variety",1
"186","continuity","variety",1
"187","economical","variety",1
"188","effective","variety",1
"189","interests","variety",1
"190","reputation","variety",1
"191","successfully","variety",1
"192","waste","variety",1
"193","reasonably","waste",1
"194","solid","waste",1
"195","threats","waste",1
"196","capability","waste",1
"197","continuity","waste",1
"198","economical","waste",1
"199","effective","waste",1
"200","interests","waste",1
"201","reputation","waste",1
"202","successfully","waste",1
"203","variety","waste",1
"204","confidence","respect",1
"205","covenant","respect",1
"206","improvement","respect",1
"207","transparent","respect",1
"208","trust","respect",1
"209","respect","confidence",1
"210","covenant","confidence",1
"211","improvement","confidence",1
"212","transparent","confidence",1
"213","trust","confidence",1
"214","respect","covenant",1
"215","confidence","covenant",1
"216","improvement","covenant",1
"217","transparent","covenant",1
"218","trust","covenant",1
"219","respect","improvement",1
"220","confidence","improvement",1
"221","covenant","improvement",1
"222","transparent","improvement",1
"223","trust","improvement",1
"224","respect","transparent",1
"225","confidence","transparent",1
"226","covenant","transparent",1
"227","improvement","transparent",1
"228","trust","transparent",1
"229","respect","trust",1
"230","confidence","trust",1
"231","covenant","trust",1
"232","improvement","trust",1
"233","transparent","trust",1
"234","great","best",1
"235","love","best",1
"236","patriot","best",1
"237","gold","best",1
"238","guarantee","best",1
"239","majesty","best",1
"240","accessible","best",1
"241","concise","best",1
"242","facilitate","best",1
"243","greatest","best",1
"244","impaired","best",1
"245","success","best",1
"246","encourage","best",1
"247","great","gold",1
"248","love","gold",1
"249","patriot","gold",1
"250","best","gold",1
"251","guarantee","gold",1
"252","majesty","gold",1
"253","accessible","gold",1
"254","concise","gold",1
"255","facilitate","gold",1
"256","greatest","gold",1
"257","impaired","gold",1
"258","success","gold",1
"259","encourage","gold",1
"260","great","guarantee",1
"261","love","guarantee",1
"262","patriot","guarantee",1
"263","best","guarantee",1
"264","gold","guarantee",1
"265","majesty","guarantee",1
"266","accessible","guarantee",1
"267","concise","guarantee",1
"268","facilitate","guarantee",1
"269","greatest","guarantee",1
"270","impaired","guarantee",1
"271","success","guarantee",1
"272","encourage","guarantee",1
"273","great","majesty",1
"274","love","majesty",1
"275","patriot","majesty",1
"276","best","majesty",1
"277","gold","majesty",1
"278","guarantee","majesty",1
"279","accessible","majesty",1
"280","concise","majesty",1
"281","facilitate","majesty",1
"282","greatest","majesty",1
"283","impaired","majesty",1
"284","success","majesty",1
"285","encourage","majesty",1
"286","great","accessible",1
"287","love","accessible",1
"288","patriot","accessible",1
"289","best","accessible",1
"290","gold","accessible",1
"291","guarantee","accessible",1
"292","majesty","accessible",1
"293","concise","accessible",1
"294","facilitate","accessible",1
"295","greatest","accessible",1
"296","impaired","accessible",1
"297","success","accessible",1
"298","encourage","accessible",1
"299","great","concise",1
"300","love","concise",1
"301","patriot","concise",1
"302","best","concise",1
"303","gold","concise",1
"304","guarantee","concise",1
"305","majesty","concise",1
"306","accessible","concise",1
"307","facilitate","concise",1
"308","greatest","concise",1
"309","impaired","concise",1
"310","success","concise",1
"311","encourage","concise",1
"312","great","facilitate",1
"313","love","facilitate",1
"314","patriot","facilitate",1
"315","best","facilitate",1
"316","gold","facilitate",1
"317","guarantee","facilitate",1
"318","majesty","facilitate",1
"319","accessible","facilitate",1
"320","concise","facilitate",1
"321","greatest","facilitate",1
"322","impaired","facilitate",1
"323","success","facilitate",1
"324","encourage","facilitate",1
"325","great","greatest",1
"326","love","greatest",1
"327","patriot","greatest",1
"328","best","greatest",1
"329","gold","greatest",1
"330","guarantee","greatest",1
"331","majesty","greatest",1
"332","accessible","greatest",1
"333","concise","greatest",1
"334","facilitate","greatest",1
"335","impaired","greatest",1
"336","success","greatest",1
"337","encourage","greatest",1
"338","great","impaired",1
"339","love","impaired",1
"340","patriot","impaired",1
"341","best","impaired",1
"342","gold","impaired",1
"343","guarantee","impaired",1
"344","majesty","impaired",1
"345","accessible","impaired",1
"346","concise","impaired",1
"347","facilitate","impaired",1
"348","greatest","impaired",1
"349","success","impaired",1
"350","encourage","impaired",1
"351","great","success",1
"352","love","success",1
"353","patriot","success",1
"354","best","success",1
"355","gold","success",1
"356","guarantee","success",1
"357","majesty","success",1
"358","accessible","success",1
"359","concise","success",1
"360","facilitate","success",1
"361","greatest","success",1
"362","impaired","success",1
"363","encourage","success",1
"364","great","encourage",1
"365","love","encourage",1
"366","patriot","encourage",1
"367","best","encourage",1
"368","gold","encourage",1
"369","guarantee","encourage",1
"370","majesty","encourage",1
"371","accessible","encourage",1
"372","concise","encourage",1
"373","facilitate","encourage",1
"374","greatest","encourage",1
"375","impaired","encourage",1
"376","success","encourage",1
"377","regal","favor",1
"378","top","favor",1
"379","loss","damage",1
"380","liable","damage",1
"381","supple","damage",1
"382","loss","liable",1
"383","damage","liable",1
"384","supple","liable",1
"385","loss","supple",1
"386","damage","supple",1
"387","liable","supple",1
"388","leading","fair",1
"389","encouraging","fair",1
"390","guidance","fair",1
"391","supporting","fair",1
"392","fair","leading",1
"393","encouraging","leading",1
"394","guidance","leading",1
"395","supporting","leading",1
"396","fair","encouraging",1
"397","leading","encouraging",1
"398","guidance","encouraging",1
"399","supporting","encouraging",1
"400","fair","guidance",1
"401","leading","guidance",1
"402","encouraging","guidance",1
"403","supporting","guidance",1
"404","fair","supporting",1
"405","leading","supporting",1
"406","encouraging","supporting",1
"407","guidance","supporting",1
"408","subjected","competitive",1
"409","significant","competitive",1
"410","complaints","competitive",1
"411","losses","competitive",1
"412","subjected","complaints",1
"413","significant","complaints",1
"414","competitive","complaints",1
"415","losses","complaints",1
"416","subjected","losses",1
"417","significant","losses",1
"418","competitive","losses",1
"419","complaints","losses",1
"420","smart","smarter",1
"421","pure","awarded",1
"422","recommendations","awarded",1
"423","volatile","awarded",1
"424","valor","awarded",1
"425","awarded","pure",1
"426","recommendations","pure",1
"427","volatile","pure",1
"428","valor","pure",1
"429","awarded","recommendations",1
"430","pure","recommendations",1
"431","volatile","recommendations",1
"432","valor","recommendations",1
"433","awarded","volatile",1
"434","pure","volatile",1
"435","recommendations","volatile",1
"436","valor","volatile",1
"437","awarded","valor",1
"438","pure","valor",1
"439","recommendations","valor",1
"440","volatile","valor",1
"441","innovation","attentive",1
"442","attentive","innovation",1
"443","benefits","accomplish",1
"444","intelligent","accomplish",1
"445","leverage","accomplish",1
"446","positive","accomplish",1
"447","work","accomplish",1
"448","limitation","accomplish",1
"449","benefits","intelligent",1
"450","accomplish","intelligent",1
"451","leverage","intelligent",1
"452","positive","intelligent",1
"453","work","intelligent",1
"454","limitation","intelligent",1
"455","benefits","leverage",1
"456","accomplish","leverage",1
"457","intelligent","leverage",1
"458","positive","leverage",1
"459","work","leverage",1
"460","limitation","leverage",1
"461","benefits","positive",1
"462","accomplish","positive",1
"463","intelligent","positive",1
"464","leverage","positive",1
"465","work","positive",1
"466","limitation","positive",1
"467","benefits","work",1
"468","accomplish","work",1
"469","intelligent","work",1
"470","leverage","work",1
"471","positive","work",1
"472","limitation","work",1
"473","benefits","limitation",1
"474","accomplish","limitation",1
"475","intelligent","limitation",1
"476","leverage","limitation",1
"477","positive","limitation",1
"478","work","limitation",1
"479","engaging","compact",0.796819072889596
"480","appropriate","better",0.796819072889596
"481","engaging","progress",0.796819072889596
"482","improve","progress",0.796819072889596
"483","engaging","welcome",0.796819072889596
"484","improve","welcome",0.796819072889596
"485","engaging","awards",0.796819072889596
"486","compact","engaging",0.796819072889596
"487","progress","engaging",0.796819072889596
"488","welcome","engaging",0.796819072889596
"489","awards","engaging",0.796819072889596
"490","appropriate","engaging",0.796819072889596
"491","progress","improve",0.796819072889596
"492","welcome","improve",0.796819072889596
"493","appropriate","support",0.796819072889596
"494","better","appropriate",0.796819072889596
"495","engaging","appropriate",0.796819072889596
"496","support","appropriate",0.796819072889596
"497","well","issues",0.772328445721233
"498","issues","well",0.772328445721233
"499","issues","assurance",0.697368421052632
"500","assurance","issues",0.697368421052632
"501","great","protection",0.690849279707758
"502","love","protection",0.690849279707758
"503","patriot","protection",0.690849279707758
"504","best","protection",0.690849279707758
"505","gold","protection",0.690849279707758
"506","guarantee","protection",0.690849279707758
"507","majesty","protection",0.690849279707758
"508","accessible","protection",0.690849279707758
"509","concise","protection",0.690849279707758
"510","facilitate","protection",0.690849279707758
"511","greatest","protection",0.690849279707758
"512","impaired","protection",0.690849279707758
"513","success","protection",0.690849279707758
"514","encourage","protection",0.690849279707758
"515","great","compact",0.690849279707758
"516","love","compact",0.690849279707758
"517","patriot","compact",0.690849279707758
"518","respect","compact",0.690849279707758
"519","confidence","compact",0.690849279707758
"520","covenant","compact",0.690849279707758
"521","improvement","compact",0.690849279707758
"522","transparent","compact",0.690849279707758
"523","trust","compact",0.690849279707758
"524","best","compact",0.690849279707758
"525","gold","compact",0.690849279707758
"526","guarantee","compact",0.690849279707758
"527","majesty","compact",0.690849279707758
"528","accessible","compact",0.690849279707758
"529","concise","compact",0.690849279707758
"530","facilitate","compact",0.690849279707758
"531","greatest","compact",0.690849279707758
"532","impaired","compact",0.690849279707758
"533","success","compact",0.690849279707758
"534","encourage","compact",0.690849279707758
"535","integrated","smart",0.690849279707758
"536","benefits","progress",0.690849279707758
"537","respect","progress",0.690849279707758
"538","confidence","progress",0.690849279707758
"539","covenant","progress",0.690849279707758
"540","improvement","progress",0.690849279707758
"541","transparent","progress",0.690849279707758
"542","trust","progress",0.690849279707758
"543","accomplish","progress",0.690849279707758
"544","intelligent","progress",0.690849279707758
"545","leverage","progress",0.690849279707758
"546","positive","progress",0.690849279707758
"547","work","progress",0.690849279707758
"548","limitation","progress",0.690849279707758
"549","protection","great",0.690849279707758
"550","compact","great",0.690849279707758
"551","risks","great",0.690849279707758
"552","rue","great",0.690849279707758
"553","awards","great",0.690849279707758
"554","right","great",0.690849279707758
"555","appropriate","great",0.690849279707758
"556","undue","great",0.690849279707758
"557","protection","love",0.690849279707758
"558","compact","love",0.690849279707758
"559","risks","love",0.690849279707758
"560","rue","love",0.690849279707758
"561","awards","love",0.690849279707758
"562","right","love",0.690849279707758
"563","appropriate","love",0.690849279707758
"564","undue","love",0.690849279707758
"565","protection","patriot",0.690849279707758
"566","compact","patriot",0.690849279707758
"567","risks","patriot",0.690849279707758
"568","rue","patriot",0.690849279707758
"569","awards","patriot",0.690849279707758
"570","right","patriot",0.690849279707758
"571","appropriate","patriot",0.690849279707758
"572","undue","patriot",0.690849279707758
"573","great","risks",0.690849279707758
"574","love","risks",0.690849279707758
"575","patriot","risks",0.690849279707758
"576","loss","risks",0.690849279707758
"577","best","risks",0.690849279707758
"578","gold","risks",0.690849279707758
"579","guarantee","risks",0.690849279707758
"580","majesty","risks",0.690849279707758
"581","accessible","risks",0.690849279707758
"582","concise","risks",0.690849279707758
"583","facilitate","risks",0.690849279707758
"584","greatest","risks",0.690849279707758
"585","impaired","risks",0.690849279707758
"586","success","risks",0.690849279707758
"587","encourage","risks",0.690849279707758
"588","damage","risks",0.690849279707758
"589","liable","risks",0.690849279707758
"590","supple","risks",0.690849279707758
"591","great","rue",0.690849279707758
"592","love","rue",0.690849279707758
"593","patriot","rue",0.690849279707758
"594","best","rue",0.690849279707758
"595","gold","rue",0.690849279707758
"596","guarantee","rue",0.690849279707758
"597","majesty","rue",0.690849279707758
"598","accessible","rue",0.690849279707758
"599","concise","rue",0.690849279707758
"600","facilitate","rue",0.690849279707758
"601","greatest","rue",0.690849279707758
"602","impaired","rue",0.690849279707758
"603","success","rue",0.690849279707758
"604","encourage","rue",0.690849279707758
"605","risks","loss",0.690849279707758
"606","right","loss",0.690849279707758
"607","undue","loss",0.690849279707758
"608","accurate","loss",0.690849279707758
"609","smart","integrated",0.690849279707758
"610","keen","integrated",0.690849279707758
"611","smarter","integrated",0.690849279707758
"612","reliable","important",0.690849279707758
"613","progress","benefits",0.690849279707758
"614","welcome","benefits",0.690849279707758
"615","appropriate","benefits",0.690849279707758
"616","benefits","welcome",0.690849279707758
"617","respect","welcome",0.690849279707758
"618","confidence","welcome",0.690849279707758
"619","covenant","welcome",0.690849279707758
"620","improvement","welcome",0.690849279707758
"621","transparent","welcome",0.690849279707758
"622","trust","welcome",0.690849279707758
"623","accomplish","welcome",0.690849279707758
"624","intelligent","welcome",0.690849279707758
"625","leverage","welcome",0.690849279707758
"626","positive","welcome",0.690849279707758
"627","work","welcome",0.690849279707758
"628","limitation","welcome",0.690849279707758
"629","compact","respect",0.690849279707758
"630","progress","respect",0.690849279707758
"631","welcome","respect",0.690849279707758
"632","awards","respect",0.690849279707758
"633","great","awards",0.690849279707758
"634","love","awards",0.690849279707758
"635","patriot","awards",0.690849279707758
"636","respect","awards",0.690849279707758
"637","confidence","awards",0.690849279707758
"638","covenant","awards",0.690849279707758
"639","improvement","awards",0.690849279707758
"640","transparent","awards",0.690849279707758
"641","trust","awards",0.690849279707758
"642","best","awards",0.690849279707758
"643","gold","awards",0.690849279707758
"644","guarantee","awards",0.690849279707758
"645","majesty","awards",0.690849279707758
"646","accessible","awards",0.690849279707758
"647","concise","awards",0.690849279707758
"648","facilitate","awards",0.690849279707758
"649","greatest","awards",0.690849279707758
"650","impaired","awards",0.690849279707758
"651","success","awards",0.690849279707758
"652","encourage","awards",0.690849279707758
"653","compact","confidence",0.690849279707758
"654","progress","confidence",0.690849279707758
"655","welcome","confidence",0.690849279707758
"656","awards","confidence",0.690849279707758
"657","compact","covenant",0.690849279707758
"658","progress","covenant",0.690849279707758
"659","welcome","covenant",0.690849279707758
"660","awards","covenant",0.690849279707758
"661","compact","improvement",0.690849279707758
"662","progress","improvement",0.690849279707758
"663","welcome","improvement",0.690849279707758
"664","awards","improvement",0.690849279707758
"665","compact","transparent",0.690849279707758
"666","progress","transparent",0.690849279707758
"667","welcome","transparent",0.690849279707758
"668","awards","transparent",0.690849279707758
"669","compact","trust",0.690849279707758
"670","progress","trust",0.690849279707758
"671","welcome","trust",0.690849279707758
"672","awards","trust",0.690849279707758
"673","protection","best",0.690849279707758
"674","compact","best",0.690849279707758
"675","risks","best",0.690849279707758
"676","rue","best",0.690849279707758
"677","awards","best",0.690849279707758
"678","right","best",0.690849279707758
"679","appropriate","best",0.690849279707758
"680","undue","best",0.690849279707758
"681","protection","gold",0.690849279707758
"682","compact","gold",0.690849279707758
"683","risks","gold",0.690849279707758
"684","rue","gold",0.690849279707758
"685","awards","gold",0.690849279707758
"686","right","gold",0.690849279707758
"687","appropriate","gold",0.690849279707758
"688","undue","gold",0.690849279707758
"689","protection","guarantee",0.690849279707758
"690","compact","guarantee",0.690849279707758
"691","risks","guarantee",0.690849279707758
"692","rue","guarantee",0.690849279707758
"693","awards","guarantee",0.690849279707758
"694","right","guarantee",0.690849279707758
"695","appropriate","guarantee",0.690849279707758
"696","undue","guarantee",0.690849279707758
"697","protection","majesty",0.690849279707758
"698","compact","majesty",0.690849279707758
"699","risks","majesty",0.690849279707758
"700","rue","majesty",0.690849279707758
"701","awards","majesty",0.690849279707758
"702","right","majesty",0.690849279707758
"703","appropriate","majesty",0.690849279707758
"704","undue","majesty",0.690849279707758
"705","great","right",0.690849279707758
"706","love","right",0.690849279707758
"707","patriot","right",0.690849279707758
"708","loss","right",0.690849279707758
"709","best","right",0.690849279707758
"710","gold","right",0.690849279707758
"711","guarantee","right",0.690849279707758
"712","majesty","right",0.690849279707758
"713","accessible","right",0.690849279707758
"714","concise","right",0.690849279707758
"715","facilitate","right",0.690849279707758
"716","greatest","right",0.690849279707758
"717","impaired","right",0.690849279707758
"718","success","right",0.690849279707758
"719","encourage","right",0.690849279707758
"720","damage","right",0.690849279707758
"721","liable","right",0.690849279707758
"722","supple","right",0.690849279707758
"723","protection","accessible",0.690849279707758
"724","compact","accessible",0.690849279707758
"725","risks","accessible",0.690849279707758
"726","rue","accessible",0.690849279707758
"727","awards","accessible",0.690849279707758
"728","right","accessible",0.690849279707758
"729","appropriate","accessible",0.690849279707758
"730","undue","accessible",0.690849279707758
"731","protection","concise",0.690849279707758
"732","compact","concise",0.690849279707758
"733","risks","concise",0.690849279707758
"734","rue","concise",0.690849279707758
"735","awards","concise",0.690849279707758
"736","right","concise",0.690849279707758
"737","appropriate","concise",0.690849279707758
"738","undue","concise",0.690849279707758
"739","protection","facilitate",0.690849279707758
"740","compact","facilitate",0.690849279707758
"741","risks","facilitate",0.690849279707758
"742","rue","facilitate",0.690849279707758
"743","awards","facilitate",0.690849279707758
"744","right","facilitate",0.690849279707758
"745","appropriate","facilitate",0.690849279707758
"746","undue","facilitate",0.690849279707758
"747","protection","greatest",0.690849279707758
"748","compact","greatest",0.690849279707758
"749","risks","greatest",0.690849279707758
"750","rue","greatest",0.690849279707758
"751","awards","greatest",0.690849279707758
"752","right","greatest",0.690849279707758
"753","appropriate","greatest",0.690849279707758
"754","undue","greatest",0.690849279707758
"755","protection","impaired",0.690849279707758
"756","compact","impaired",0.690849279707758
"757","risks","impaired",0.690849279707758
"758","rue","impaired",0.690849279707758
"759","awards","impaired",0.690849279707758
"760","right","impaired",0.690849279707758
"761","appropriate","impaired",0.690849279707758
"762","undue","impaired",0.690849279707758
"763","protection","success",0.690849279707758
"764","compact","success",0.690849279707758
"765","risks","success",0.690849279707758
"766","rue","success",0.690849279707758
"767","awards","success",0.690849279707758
"768","right","success",0.690849279707758
"769","appropriate","success",0.690849279707758
"770","undue","success",0.690849279707758
"771","protection","encourage",0.690849279707758
"772","compact","encourage",0.690849279707758
"773","risks","encourage",0.690849279707758
"774","rue","encourage",0.690849279707758
"775","awards","encourage",0.690849279707758
"776","right","encourage",0.690849279707758
"777","appropriate","encourage",0.690849279707758
"778","undue","encourage",0.690849279707758
"779","great","appropriate",0.690849279707758
"780","love","appropriate",0.690849279707758
"781","patriot","appropriate",0.690849279707758
"782","benefits","appropriate",0.690849279707758
"783","best","appropriate",0.690849279707758
"784","gold","appropriate",0.690849279707758
"785","guarantee","appropriate",0.690849279707758
"786","majesty","appropriate",0.690849279707758
"787","accessible","appropriate",0.690849279707758
"788","concise","appropriate",0.690849279707758
"789","facilitate","appropriate",0.690849279707758
"790","greatest","appropriate",0.690849279707758
"791","impaired","appropriate",0.690849279707758
"792","success","appropriate",0.690849279707758
"793","encourage","appropriate",0.690849279707758
"794","accomplish","appropriate",0.690849279707758
"795","intelligent","appropriate",0.690849279707758
"796","leverage","appropriate",0.690849279707758
"797","positive","appropriate",0.690849279707758
"798","work","appropriate",0.690849279707758
"799","limitation","appropriate",0.690849279707758
"800","great","undue",0.690849279707758
"801","love","undue",0.690849279707758
"802","patriot","undue",0.690849279707758
"803","loss","undue",0.690849279707758
"804","best","undue",0.690849279707758
"805","gold","undue",0.690849279707758
"806","guarantee","undue",0.690849279707758
"807","majesty","undue",0.690849279707758
"808","accessible","undue",0.690849279707758
"809","concise","undue",0.690849279707758
"810","facilitate","undue",0.690849279707758
"811","greatest","undue",0.690849279707758
"812","impaired","undue",0.690849279707758
"813","success","undue",0.690849279707758
"814","encourage","undue",0.690849279707758
"815","damage","undue",0.690849279707758
"816","liable","undue",0.690849279707758
"817","supple","undue",0.690849279707758
"818","loss","accurate",0.690849279707758
"819","damage","accurate",0.690849279707758
"820","liable","accurate",0.690849279707758
"821","supple","accurate",0.690849279707758
"822","reliable","accurate",0.690849279707758
"823","risks","damage",0.690849279707758
"824","right","damage",0.690849279707758
"825","undue","damage",0.690849279707758
"826","accurate","damage",0.690849279707758
"827","risks","liable",0.690849279707758
"828","right","liable",0.690849279707758
"829","undue","liable",0.690849279707758
"830","accurate","liable",0.690849279707758
"831","risks","supple",0.690849279707758
"832","right","supple",0.690849279707758
"833","undue","supple",0.690849279707758
"834","accurate","supple",0.690849279707758
"835","integrated","keen",0.690849279707758
"836","integrated","smarter",0.690849279707758
"837","important","reliable",0.690849279707758
"838","accurate","reliable",0.690849279707758
"839","progress","accomplish",0.690849279707758
"840","welcome","accomplish",0.690849279707758
"841","appropriate","accomplish",0.690849279707758
"842","progress","intelligent",0.690849279707758
"843","welcome","intelligent",0.690849279707758
"844","appropriate","intelligent",0.690849279707758
"845","progress","leverage",0.690849279707758
"846","welcome","leverage",0.690849279707758
"847","appropriate","leverage",0.690849279707758
"848","progress","positive",0.690849279707758
"849","welcome","positive",0.690849279707758
"850","appropriate","positive",0.690849279707758
"851","progress","work",0.690849279707758
"852","welcome","work",0.690849279707758
"853","appropriate","work",0.690849279707758
"854","progress","limitation",0.690849279707758
"855","welcome","limitation",0.690849279707758
"856","appropriate","limitation",0.690849279707758
"857","compact","limited",0.672592709134549
"858","awards","limited",0.672592709134549
"859","compact","assurance",0.672592709134549
"860","awards","assurance",0.672592709134549
"861","limited","compact",0.672592709134549
"862","assurance","compact",0.672592709134549
"863","issues","compact",0.672592709134549
"864","risks","available",0.672592709134549
"865","right","available",0.672592709134549
"866","undue","available",0.672592709134549
"867","compact","issues",0.672592709134549
"868","awards","issues",0.672592709134549
"869","available","risks",0.672592709134549
"870","limited","awards",0.672592709134549
"871","assurance","awards",0.672592709134549
"872","issues","awards",0.672592709134549
"873","available","right",0.672592709134549
"874","available","undue",0.672592709134549
"875","well","engaging",0.651920240520265
"876","engaging","well",0.651920240520265
"877","support","well",0.651920240520265
"878","well","support",0.651920240520265
"879","engaging","better",0.616666666666667
"880","improve","better",0.616666666666667
"881","support","better",0.616666666666667
"882","friendly","free",0.616666666666667
"883","better","engaging",0.616666666666667
"884","improve","engaging",0.616666666666667
"885","support","engaging",0.616666666666667
"886","better","improve",0.616666666666667
"887","engaging","improve",0.616666666666667
"888","better","support",0.616666666666667
"889","engaging","support",0.616666666666667
"890","free","friendly",0.616666666666667
"891","great","better",0.55048188256318
"892","love","better",0.55048188256318
"893","patriot","better",0.55048188256318
"894","benefits","better",0.55048188256318
"895","best","better",0.55048188256318
"896","gold","better",0.55048188256318
"897","guarantee","better",0.55048188256318
"898","majesty","better",0.55048188256318
"899","accessible","better",0.55048188256318
"900","concise","better",0.55048188256318
"901","facilitate","better",0.55048188256318
"902","greatest","better",0.55048188256318
"903","impaired","better",0.55048188256318
"904","success","better",0.55048188256318
"905","encourage","better",0.55048188256318
"906","accomplish","better",0.55048188256318
"907","intelligent","better",0.55048188256318
"908","leverage","better",0.55048188256318
"909","positive","better",0.55048188256318
"910","work","better",0.55048188256318
"911","limitation","better",0.55048188256318
"912","commitment","reasonably",0.55048188256318
"913","commitment","solid",0.55048188256318
"914","commitment","threats",0.55048188256318
"915","reasonably","commitment",0.55048188256318
"916","solid","commitment",0.55048188256318
"917","threats","commitment",0.55048188256318
"918","capability","commitment",0.55048188256318
"919","continuity","commitment",0.55048188256318
"920","economical","commitment",0.55048188256318
"921","effective","commitment",0.55048188256318
"922","interests","commitment",0.55048188256318
"923","reputation","commitment",0.55048188256318
"924","successfully","commitment",0.55048188256318
"925","variety","commitment",0.55048188256318
"926","waste","commitment",0.55048188256318
"927","respect","commitment",0.55048188256318
"928","confidence","commitment",0.55048188256318
"929","covenant","commitment",0.55048188256318
"930","improvement","commitment",0.55048188256318
"931","transparent","commitment",0.55048188256318
"932","trust","commitment",0.55048188256318
"933","reliable","commitment",0.55048188256318
"934","better","great",0.55048188256318
"935","engaging","great",0.55048188256318
"936","like","great",0.55048188256318
"937","support","great",0.55048188256318
"938","better","love",0.55048188256318
"939","engaging","love",0.55048188256318
"940","like","love",0.55048188256318
"941","support","love",0.55048188256318
"942","better","patriot",0.55048188256318
"943","engaging","patriot",0.55048188256318
"944","like","patriot",0.55048188256318
"945","support","patriot",0.55048188256318
"946","better","benefits",0.55048188256318
